 nodal point     1     0.00000       0.00000    
 nodal point     2    0.100000       0.00000    
 nodal point     3    0.200000       0.00000    
 nodal point     4    0.300000       0.00000    
 nodal point     5    0.400000       0.00000    
 nodal point     6    0.500000       0.00000    
 nodal point     7    0.600000       0.00000    
 nodal point     8    0.700000       0.00000    
 nodal point     9    0.800000       0.00000    
 nodal point    10    0.900000       0.00000    
 nodal point    11     0.00000      0.100000    
 nodal point    12    0.100000      0.100000    
 nodal point    13    0.200000      0.100000    
 nodal point    14    0.300000      0.100000    
 nodal point    15    0.400000      0.100000    
 nodal point    16    0.500000      0.100000    
 nodal point    17    0.600000      0.100000    
 nodal point    18    0.700000      0.100000    
 nodal point    19    0.800000      0.100000    
 nodal point    20    0.900000      0.100000    
 nodal point    21     0.00000      0.200000    
 nodal point    22    0.100000      0.200000    
 nodal point    23    0.200000      0.200000    
 nodal point    24    0.300000      0.200000    
 nodal point    25    0.400000      0.200000    
 nodal point    26    0.500000      0.200000    
 nodal point    27    0.600000      0.200000    
 nodal point    28    0.700000      0.200000    
 nodal point    29    0.800000      0.200000    
 nodal point    30    0.900000      0.200000    
 nodal point    31     0.00000      0.300000    
 nodal point    32    0.100000      0.300000    
 nodal point    33    0.200000      0.300000    
 nodal point    34    0.300000      0.300000    
 nodal point    35    0.400000      0.300000    
 nodal point    36    0.500000      0.300000    
 nodal point    37    0.600000      0.300000    
 nodal point    38    0.700000      0.300000    
 nodal point    39    0.800000      0.300000    
 nodal point    40    0.900000      0.300000    
 nodal point    41     0.00000      0.400000    
 nodal point    42    0.100000      0.400000    
 nodal point    43    0.200000      0.400000    
 nodal point    44    0.300000      0.400000    
 nodal point    45    0.400000      0.400000    
 nodal point    46    0.500000      0.400000    
 nodal point    47    0.600000      0.400000    
 nodal point    48    0.700000      0.400000    
 nodal point    49    0.800000      0.400000    
 nodal point    50    0.900000      0.400000    
 nodal point    51     0.00000      0.500000    
 nodal point    52    0.100000      0.500000    
 nodal point    53    0.200000      0.500000    
 nodal point    54    0.300000      0.500000    
 nodal point    55    0.400000      0.500000    
 nodal point    56    0.500000      0.500000    
 nodal point    57    0.600000      0.500000    
 nodal point    58    0.700000      0.500000    
 nodal point    59    0.800000      0.500000    
 nodal point    60    0.900000      0.500000    
 nodal point    61     0.00000      0.600000    
 nodal point    62    0.100000      0.600000    
 nodal point    63    0.200000      0.600000    
 nodal point    64    0.300000      0.600000    
 nodal point    65    0.400000      0.600000    
 nodal point    66    0.500000      0.600000    
 nodal point    67    0.600000      0.600000    
 nodal point    68    0.700000      0.600000    
 nodal point    69    0.800000      0.600000    
 nodal point    70    0.900000      0.600000    
